date,account_value
2024-01-02,1000000.0
2024-01-03,992142.3327570838
2024-01-04,983498.6595426439
2024-01-05,978392.329692644
2024-01-08,945037.3237226439
2024-01-09,951957.1655246441
2024-01-10,937704.856714644
2024-01-11,946893.595720644
2024-01-12,945862.264746644
2024-01-15,936694.983110644
2024-01-16,901554.868756644
2024-01-17,891185.6800446442
2024-01-18,918459.987020644
2024-01-19,909662.5705446439
2024-01-22,894500.110006644
2024-01-23,874622.178066644
2024-01-24,895189.670000644
2024-01-25,928231.4632526439
2024-01-26,902856.0336266439
2024-01-29,893809.621848644
2024-01-30,881477.4930646442
2024-01-31,865041.8071426441
2024-02-01,845562.298624644
2024-02-02,801795.3438966441
2024-02-05,795095.7844406441
2024-02-06,843478.334000644
2024-02-07,861187.245306644
2024-02-08,874351.416006644
2024-02-19,859302.105658644
2024-02-20,848776.233240644
2024-02-21,855461.5909126439
2024-02-22,873561.360666644
2024-02-23,875531.401630644
2024-02-26,883589.551868644
2024-02-27,906006.3696026441
2024-02-28,879628.167264644
2024-02-29,962396.7443806439
2024-03-01,942789.2651126441
2024-03-04,944275.207868644
2024-03-05,962631.0738166439
2024-03-06,945277.980580644
2024-03-07,926893.556370644
2024-03-08,942105.7231526441
2024-03-11,955440.9340366441
2024-03-12,964373.8862366439
2024-03-13,962802.1140006441
2024-03-14,939489.191628644
2024-03-15,940399.6527446441
2024-03-18,1002721.453090644
2024-03-19,1010167.8437586441
2024-03-20,1002977.549284644
2024-03-21,998930.7992826441
2024-03-22,989891.333702644
2024-03-25,975916.4237626438
2024-03-26,970660.665792644
2024-03-27,976570.6339906439
2024-03-28,987480.2639646439
2024-03-29,986754.580734644
2024-04-01,1007841.8300306438
2024-04-02,976485.268592644
2024-04-03,972218.081550644
2024-04-08,948079.444684644
2024-04-09,954850.322448644
2024-04-10,959451.5608026441
2024-04-11,967381.4309026441
2024-04-12,953164.781246644
2024-04-15,965909.0711546439
2024-04-16,945234.7564526439
2024-04-17,993915.8528646439
2024-04-18,981178.5091546441
2024-04-19,936145.739322644
2024-04-22,948179.166560644
2024-04-23,935662.414584644
2024-04-24,931067.813040644
2024-04-25,941757.1606686441
