date,account_value
2024-01-02,1000000.0
2024-01-03,992142.3327570838
2024-01-04,982695.0688970839
2024-01-05,995921.2383010838
2024-01-08,1005368.5021610837
2024-01-09,1011036.8604770837
2024-01-10,999700.1438450837
2024-01-11,999700.1438450837
2024-01-12,1005368.5021610837
2024-01-15,1009147.4077050838
2024-01-16,1011036.8604770837
2024-01-17,988363.4272130838
2024-01-18,990252.8799850837
2024-01-19,980805.616125084
2024-01-22,948684.9190010837
2024-01-23,961911.0884050839
2024-01-24,986473.9744410837
2024-01-25,1024263.0298810839
2024-01-26,1039378.6520570838
2024-01-29,1035599.7465130838
2024-01-30,1026152.4826530837
2024-01-31,1014815.7660210839
2024-02-01,1033710.2937410838
2024-02-02,1026152.4826530837
2024-02-05,1033710.2937410838
2024-02-06,1056383.727005084
2024-02-07,1052604.8214610838
2024-02-08,1073388.8019530838
2024-02-19,1128182.932341084
2024-02-20,1139519.648973084
2024-02-21,1133851.290657084
2024-02-22,1160303.629465084
2024-02-23,1199982.1376770837
2024-02-26,1158414.1766930837
2024-02-27,1156524.7239210838
2024-02-28,1135740.7434290838
2024-02-29,1162193.082237084
2024-03-01,1177308.7044130838
2024-03-04,1186755.9682730837
2024-03-05,1198092.6849050839
2024-03-06,1201871.590449084
2024-03-07,1250997.3625210836
2024-03-08,1275560.2485570838
2024-03-11,1279339.154101084
2024-03-12,1209429.401537084
2024-03-13,1285007.512417084
2024-03-14,1358696.1705250838
2024-03-15,1462616.0729850838
2024-03-18,1477731.6951610837
2024-03-19,1453168.809125084
2024-03-20,1434274.2814050838
2024-03-21,1462616.0729850838
2024-03-22,1413490.3009130838
2024-03-25,1477731.6951610837
2024-03-26,1470173.8840730838
2024-03-27,1490957.8645650838
2024-03-28,1543862.542181084
2024-03-29,1572204.333761084
2024-04-01,1558978.1643570838
2024-04-02,1575983.2393050836
2024-04-03,1651561.3501850837
2024-04-08,1632666.822465084
2024-04-09,1602435.5781130837
2024-04-10,1651561.3501850837
2024-04-11,1644003.5390970837
2024-04-12,1693129.3111690842
2024-04-15,1730918.3666090835
2024-04-16,1672345.3306770837
2024-04-17,1708244.9333450836
