date,account_value
2024-01-02,1000000.0
2024-01-03,1002912.0711177257
2024-01-04,1001354.0393858964
2024-01-05,998150.1180858965
2024-01-08,984563.4428978962
2024-01-09,994946.1967858962
2024-01-10,982938.4127578964
2024-01-11,971729.3021058965
2024-01-12,976544.4118518963
2024-01-15,970164.2526398964
2024-01-16,975764.1940678963
2024-01-17,936610.7430518962
2024-01-18,947782.9425198963
2024-01-19,954153.8739358964
2024-01-22,934999.5546058964
2024-01-23,923808.8995458963
2024-01-24,938240.3870898964
2024-01-25,964619.6779878964
2024-01-26,978257.1060538965
2024-01-29,979863.6806018965
2024-01-30,975057.7986518964
2024-01-31,963899.4408778963
2024-02-01,971064.4317718964
2024-02-02,963100.7675018962
2024-02-05,973538.8881658963
2024-02-06,975944.1360898963
2024-02-07,980685.4234678964
2024-02-08,1000633.8022758963
2024-02-19,1028679.6483958963
2024-02-20,1048655.7105918964
2024-02-21,1044676.1854058965
2024-02-22,1061448.3263018962
2024-02-23,1080634.9429178964
2024-02-26,1052616.7801858962
2024-02-27,1053415.4535618965
2024-02-28,1041435.3529218964
2024-02-29,1049426.700579896
2024-03-01,1060612.7417418964
2024-03-04,1077398.7243318963
2024-03-05,1108588.5110778962
2024-03-06,1136519.009747896
2024-03-07,1178857.926471896
2024-03-08,1191627.4726918961
2024-03-11,1189212.9969718962
2024-03-12,1149223.9613958963
2024-03-13,1175566.3411098963
2024-03-14,1231478.0913278963
2024-03-15,1276993.2459638966
2024-03-18,1262617.1251958963
2024-03-19,1242622.607407896
2024-03-20,1241052.9440438964
2024-03-21,1249847.5789758964
2024-03-22,1231487.3191238963
2024-03-25,1259445.5011818963
2024-03-26,1242691.815877896
2024-03-27,1257889.6795118963
2024-03-28,1288188.5149218966
2024-03-29,1345702.2257898964
2024-04-01,1349723.2760578967
2024-04-02,1356131.1186578963
2024-04-03,1400847.5999178966
2024-04-08,1384098.5285118963
2024-04-09,1360918.5450158964
2024-04-10,1439193.149761896
2024-04-11,1439183.9219658962
2024-04-12,1471135.470903896
2024-04-15,1476772.3235158967
2024-04-16,1435264.3774538964
2024-04-17,1446455.0325138962
2024-04-18,1477617.135871896
2024-04-19,1490409.7515818963
2024-04-22,1424092.1779858964
2024-04-23,1363393.0014098962
2024-04-24,1403312.8285158963
2024-04-25,1392140.6290478962
2024-04-26,1461583.6876778963
2024-04-29,1412869.225639896
2024-04-30,1408885.086555896
2024-05-06,1401646.2732938963
2024-05-07,1396055.5596618964
2024-05-08,1396069.4013558964
2024-05-09,1416816.4535398963
2024-05-10,1459146.1424678965
2024-05-13,1454349.4883138963
2024-05-14,1479089.9073778961
2024-05-15,1463924.3410298964
2024-05-16,1461542.1625958965
2024-05-17,1502283.7325678961
2024-05-20,1557382.9677158962
2024-05-21,1491910.206475896
2024-05-22,1474348.6199998965
2024-05-23,1427222.2769178962
2024-05-24,1425606.4745738963
2024-05-27,1455969.9045558963
2024-05-28,1443975.9622218965
2024-05-29,1475909.0555678962
2024-05-30,1411198.0565198965
2024-05-31,1392842.4105658962
2024-06-03,1386453.023557896
2024-06-04,1393641.0839418964
2024-06-05,1364094.7829278964
2024-06-06,1407223.1452318965
2024-06-07,1420837.5038078963
2024-06-11,1375570.1921458961
2024-06-12,1392510.2914378962
2024-06-13,1360217.949349896
2024-06-14,1382849.3494198963
2024-06-17,1378787.430219896
2024-06-18,1369098.804813896
2024-06-19,1401428.0580858963
2024-06-20,1420819.150591896
2024-06-21,1401423.4441878963
2024-06-24,1413549.221113896
2024-06-25,1403869.8235038961
2024-06-26,1396613.7357198962
2024-06-27,1367561.7011958961
2024-06-28,1421686.9012078962
2024-07-01,1459675.1579718958
2024-07-02,1443561.2842138961
2024-07-03,1447577.0644338962
2024-07-04,1470208.4645038964
2024-07-05,1508122.8988998963
2024-07-08,1492802.9533898958
2024-07-09,1522713.5107338962
2024-07-10,1487176.247183896
2024-07-11,1526733.9048518962
2024-07-12,1495263.174399896
2024-07-15,1522764.2636118962
2024-07-16,1554281.1330438962
2024-07-17,1494515.8624798958
2024-07-18,1492900.322595896
2024-07-19,1451708.908101896
2024-07-22,1424235.0249778964
2024-07-23,1337049.2492698962
2024-07-24,1337857.0192118962
2024-07-25,1248987.7679478962
2024-07-26,1282865.580031896
2024-07-29,1303920.9765518962
2024-07-30,1287780.1353558963
2024-07-31,1341847.343441896
2024-08-01,1345900.750795896
2024-08-02,1291785.017229896
2024-08-05,1265114.051499896
2024-08-06,1242467.377835896
2024-08-07,1252973.2396298964
2024-08-08,1231163.4511958961
2024-08-09,1249870.2150498962
2024-08-12,1251511.004757896
2024-08-13,1266166.503525896
2024-08-14,1254792.5841738963
2024-08-15,1269443.230393896
2024-08-16,1293052.710609896
2024-08-19,1321565.1497578959
2024-08-20,1307761.5874058963
2024-08-21,1316701.011209896
2024-08-22,1317572.3578178962
2024-08-23,1308632.9340138957
2024-08-26,1320829.674493896
2024-08-27,1309489.7229778965
2024-08-28,1289137.5594378961
2024-08-29,1297979.9322818962
2024-08-30,1303613.513929896
2024-09-02,1271955.366709896
2024-09-03,1262130.038653896
2024-09-04,1196257.9349658962
2024-09-05,1196243.3773218961
2024-09-06,1202753.1581258962
2024-09-09,1153133.669981896
2024-09-10,1158883.7127818963
2024-09-11,1157174.987401896
2024-09-12,1157174.987401896
2024-09-13,1196180.2941978963
2024-09-18,1225486.439185896
2024-09-19,1254739.2061458963
2024-09-20,1293783.3333258962
2024-09-23,1288928.8998738963
2024-09-24,1345135.8095898961
2024-09-25,1378473.5669018961
2024-09-26,1415107.461273896
2024-09-27,1426432.8551458963
2024-09-30,1477722.2482858961
2024-10-08,1463071.6020658961
2024-10-09,1379243.010001896
2024-10-10,1413490.934305896
2024-10-11,1404551.5105018963
2024-10-14,1439573.7304538963
2024-10-15,1395607.234149896
2024-10-16,1421665.7675578962
2024-10-17,1396434.907825896
2024-10-18,1436277.593393896
2024-10-21,1484202.9138018962
2024-10-22,1470375.088709896
2024-10-23,1454122.4731658963
2024-10-24,1424845.443465896
2024-10-25,1403685.0164418963
2024-10-28,1401231.1107018963
2024-10-29,1402867.0478618962
2024-10-30,1395515.035737896
2024-10-31,1370303.5861978962
2024-11-01,1405296.6908618964
2024-11-04,1413432.703729896
2024-11-05,1441901.4699458964
2024-11-06,1410180.2396018964
2024-11-07,1392306.2445418963
2024-11-08,1392277.1292538962
2024-11-11,1345092.1366578962
2024-11-12,1301987.2818658962
2024-11-13,1303628.071573896
2024-11-14,1271926.251421896
2024-11-15,1272749.0725498958
2024-11-18,1280135.0525098962
2024-11-19,1320781.1490138962
2024-11-20,1306135.3553418962
2024-11-21,1316705.863757896
2024-11-22,1284156.9597378962
2024-11-25,1267081.523065896
2024-11-26,1266307.227417896
2024-11-27,1277715.114605896
2024-11-28,1265513.5215778959
2024-11-29,1279326.789025896
2024-12-02,1267943.164577896
2024-12-03,1272047.565121896
2024-12-04,1287506.474825896
2024-12-05,1261472.2041578963
2024-12-06,1278557.345925896
2024-12-09,1294030.8132738962
2024-12-10,1308696.0171378958
2024-12-11,1313535.8929458961
2024-12-12,1323327.253165896
2024-12-13,1268838.773925896
2024-12-16,1250989.0416058963
2024-12-17,1259129.9070218964
2024-12-18,1262382.371149896
2024-12-19,1248535.1358658962
2024-12-20,1224156.2125498962
2024-12-23,1264047.423597896
2024-12-24,1273838.7838178962
2024-12-25,1264933.327849896
2024-12-26,1273059.635621896
2024-12-27,1247030.2175018962
2024-12-30,1266569.265009896
2024-12-31,1232408.686569896
2025-01-02,1237219.447089896
2025-01-03,1268921.2672418961
2025-01-06,1262435.749177896
2025-01-07,1305564.866709896
2025-01-08,1291771.009453896
2025-01-09,1297433.7063898963
2025-01-10,1316130.5225778958
2025-01-13,1336409.8978978961
2025-01-14,1337261.8343138963
2025-01-15,1286045.229393896
2025-01-16,1317771.3122858962
2025-01-17,1325887.914961896
2025-01-20,1327494.736833896
2025-01-21,1324242.272705896
2025-01-22,1320128.167065896
2025-01-23,1294182.9254178964
2025-01-24,1305551.6556278958
2025-01-27,1323509.714775896
2025-02-05,1342146.841813896
2025-02-06,1329127.055809896
2025-02-07,1354323.7233098962
2025-02-10,1374646.6593638961
2025-02-11,1408039.0288818963
2025-02-12,1383655.477413896
2025-02-13,1386099.790255896
2025-02-14,1398296.5307358962
2025-02-17,1344645.766861896
2025-02-18,1337387.299525896
2025-02-19,1332493.7090958962
2025-02-20,1339821.682875896
2025-02-21,1319449.099361896
2025-02-24,1310479.9992798958
2025-02-25,1286061.694589896
2025-02-26,1292591.446575896
2025-02-27,1283657.099715896
2025-02-28,1251117.5641978963
2025-03-03,1274707.858617896
2025-03-04,1298268.364561896
2025-03-05,1304817.9755318963
2025-03-06,1328383.446221896
2025-03-07,1338939.0603998962
2025-03-10,1356807.7541198956
2025-03-11,1342994.711067896
2025-03-12,1360040.3592638965
2025-03-13,1381994.4921278963
2025-03-14,1424291.420029896
2025-03-17,1402342.2519118963
2025-03-18,1447063.633671896
2025-03-19,1470673.787075896
2025-03-20,1480426.2147138962
2025-03-21,1431609.4643178962
2025-03-24,1470658.892837896
2025-03-25,1499157.6719258958
2025-03-26,1482895.3512858963
2025-03-27,1455274.229927896
2025-03-28,1479652.8166498963
2025-03-31,1476449.999981896
2025-04-01,1460961.0774058963
2025-04-02,1426031.841251896
2025-04-03,1394355.0692258961
2025-04-07,1256016.1193738962
2025-04-08,1299939.279339896
2025-04-09,1297470.1427678962
2025-04-10,1364943.879185896
2025-04-11,1397488.3794498963
2025-04-14,1436547.7374618961
2025-04-15,1438223.616985896
2025-04-16,1445581.3792418963
2025-04-17,1452086.3074978963
2025-04-18,1435833.9163498962
2025-04-21,1515494.463755896
2025-04-22,1507412.9508958962
2025-04-23,1449671.7831318963
2025-04-24,1439973.9676998963
2025-04-25,1438322.390261896
2025-04-28,1439160.851713896
2025-04-29,1436716.4345338962
2025-04-30,1422807.287561896
2025-05-06,1447180.4921858963
2025-05-07,1470826.755205896
2025-05-08,1447236.2521098962
2025-05-09,1438317.3211778959
2025-05-12,1443185.8792018963
2025-05-13,1447271.7356978962
2025-05-14,1458660.4292298963
2025-05-15,1425317.602833896
2025-05-16,1419605.514273896
2025-05-19,1419595.3761058962
2025-05-20,1422847.8402338962
2025-05-21,1506603.860613896
2025-05-22,1513926.9739858962
2025-05-23,1514709.6755138962
2025-05-26,1512239.912913896
2025-05-27,1456973.3681578957
2025-05-28,1465089.321225896
2025-05-29,1452069.3265458962
2025-05-30,1444756.3513418962
2025-06-03,1471589.1803978963
2025-06-04,1474018.3903258962
2025-06-05,1456927.7464018958
2025-06-06,1478058.6250658962
2025-06-09,1464225.5143538963
2025-06-10,1488629.133481896
2025-06-11,1520330.5205618963
2025-06-12,1585379.8031218965
2025-06-13,1582859.1475938961
2025-06-16,1555654.876029896
2025-06-17,1559774.7384458962
2025-06-18,1552415.7598378963
2025-06-19,1518611.5978738964
2025-06-20,1521936.8884938962
2025-06-23,1530222.2350818964
2025-06-24,1532722.5394018958
2025-06-25,1569877.3374058963
2025-06-26,1569067.5583578965
2025-06-27,1634965.0806778963
2025-06-30,1611875.602445896
2025-07-01,1644890.261697896
2025-07-02,1667164.8917978962
2025-07-03,1677049.5201458961
2025-07-04,1657290.4016178963
2025-07-07,1636680.951369896
2025-07-08,1638320.7858018961
2025-07-09,1562457.5297898962
2025-07-10,1557527.8883258963
2025-07-11,1561586.9217338962
2025-07-14,1577292.0759378963
2025-07-15,1580566.6757178963
2025-07-16,1582221.7174018961
2025-07-17,1576426.5369658961
2025-07-18,1609436.1271338963
2025-07-21,1635815.4123978962
2025-07-22,1673729.2986098963
2025-07-23,1670454.6988298963
2025-07-24,1662994.338541896
2025-07-25,1640704.5011898961
2025-07-28,1636579.569689896
2025-07-29,1619234.5810538963
2025-07-30,1638229.5422898962
2025-07-31,1582965.5983578963
2025-08-01,1592040.4476578964
2025-08-04,1643204.8055098963
2025-08-05,1642415.302797896
2025-08-06,1666344.9745818963
2025-08-07,1677925.1972858962
2025-08-08,1697699.5230658962
2025-08-11,1673749.5749458962
2025-08-12,1677894.7827818962
2025-08-13,1737253.2437098962
2025-08-14,1749622.9691258962
2025-08-15,1759461.9757178964
2025-08-18,1719037.6470178964
2025-08-19,1680319.050841896
2025-08-20,1699349.4956658962
2025-08-21,1702669.7172018962
2025-08-22,1707614.5659178963
2025-08-25,1835477.3042498962
2025-08-26,1850316.9194818963
2025-08-27,1861810.9677578965
2025-08-28,1860975.8432898961
2025-08-29,1907170.0070058962
2025-09-01,2014418.2260058965
2025-09-02,2016948.9448298963
2025-09-03,2060632.6660578963
2025-09-04,1972394.615545896
2025-09-05,2087842.0067058965
2025-09-08,2035842.5243858963
2025-09-09,2081221.8399698962
2025-09-10,2080401.9227538963
2025-09-11,2124131.2657378963
2025-09-12,2119171.209769896
2025-09-15,2106786.2771018962
2025-09-16,2091911.1782818963
2025-09-17,2071281.4516978965
2025-09-18,2017606.6513578964
2025-09-19,2067100.7602738964
2025-09-22,2095934.7281018966
2025-09-23,2133104.733357896
2025-09-24,2142169.4444898963
2025-09-25,2252697.332353896
2025-09-26,2263422.1542538963
2025-09-29,2376425.001017896
2025-09-30,2450404.6712858966
2025-10-09,2694845.0186418965
2025-10-10,2569312.1434978964
2025-10-13,2605044.708637896
2025-10-14,2455443.4233898963
2025-10-15,2578482.2679018965
2025-10-16,2536134.437997896
2025-10-17,2511173.8553418964
2025-10-20,2476267.564661896
2025-10-21,2501223.078233896
2025-10-22,2451377.949181896
2025-10-23,2472176.745033896
2025-10-24,2499631.3583218968
2025-10-27,2580302.096593896
2025-10-28,2483871.3145738966
2025-10-29,2576981.791501897
2025-10-30,2589477.2900818964
2025-10-31,2538745.0575618963
2025-11-03,2497213.363949896
2025-11-04,2395814.797001896
2025-11-05,2414915.422177897
2025-11-06,2472262.919461896
2025-11-07,2511325.9278618963
2025-11-10,2511336.0660298965
2025-11-11,2465622.3092778963
2025-11-12,2454855.3958778963
2025-11-13,2557100.513621896
2025-11-14,2498947.018213896
2025-11-17,2412461.944217896
2025-11-18,2363417.7442058967
2025-11-19,2442506.900733896
2025-11-20,2411868.847621896
2025-11-21,2342892.6788898963
2025-11-24,2331193.0402658964
2025-11-25,2373637.1827658964
2025-11-26,2366930.6744898963
2025-11-27,2381073.652905897
2025-11-28,2379360.274977896
2025-12-01,2502399.119489896
2025-12-02,2475791.056997896
2025-12-03,2494851.129501896
2025-12-04,2554677.450165896
2025-12-05,2607016.6098498963
2025-12-08,2621990.9318098966
2025-12-09,2530548.211053896
2025-12-10,2559599.6133378963
2025-12-11,2577094.0039118966
2025-12-12,2638551.4107678966
2025-12-15,2614452.7838918963
2025-12-16,2523826.0016958965
2025-12-17,2569560.232515896
2025-12-18,2577920.1795058963
