date,account_value,Agent
2024-01-02,1000000.0,PPO
2024-01-03,1002912.0711177257,PPO
2024-01-04,1001354.0393858964,PPO
2024-01-05,998150.1180858965,PPO
2024-01-08,984563.4428978962,PPO
2024-01-09,994946.1967858962,PPO
2024-01-10,982938.4127578964,PPO
2024-01-11,971729.3021058965,PPO
2024-01-12,976544.4118518963,PPO
2024-01-15,970164.2526398964,PPO
2024-01-16,975764.1940678963,PPO
2024-01-17,936610.7430518962,PPO
2024-01-18,947782.9425198963,PPO
2024-01-19,954153.8739358964,PPO
2024-01-22,934999.5546058964,PPO
2024-01-23,923808.8995458963,PPO
2024-01-24,938240.3870898964,PPO
2024-01-25,964619.6779878964,PPO
2024-01-26,978257.1060538965,PPO
2024-01-29,979863.6806018965,PPO
2024-01-30,975057.7986518964,PPO
2024-01-31,963899.4408778963,PPO
2024-02-01,971064.4317718964,PPO
2024-02-02,963100.7675018962,PPO
2024-02-05,973538.8881658963,PPO
2024-02-06,975944.1360898963,PPO
2024-02-07,980685.4234678964,PPO
2024-02-08,1000633.8022758963,PPO
2024-02-19,1028679.6483958963,PPO
2024-02-20,1048655.7105918964,PPO
2024-02-21,1044676.1854058965,PPO
2024-02-22,1061448.3263018962,PPO
2024-02-23,1080634.9429178964,PPO
2024-02-26,1052616.7801858962,PPO
2024-02-27,1053415.4535618965,PPO
2024-02-28,1041435.3529218964,PPO
2024-02-29,1049426.700579896,PPO
2024-03-01,1060612.7417418964,PPO
2024-03-04,1077398.7243318963,PPO
2024-03-05,1108588.5110778962,PPO
2024-03-06,1136519.009747896,PPO
2024-03-07,1178857.926471896,PPO
2024-03-08,1191627.4726918961,PPO
2024-03-11,1189212.9969718962,PPO
2024-03-12,1149223.9613958963,PPO
2024-03-13,1175566.3411098963,PPO
2024-03-14,1231478.0913278963,PPO
2024-03-15,1276993.2459638966,PPO
2024-03-18,1262617.1251958963,PPO
2024-03-19,1242622.607407896,PPO
2024-03-20,1241052.9440438964,PPO
2024-03-21,1249847.5789758964,PPO
2024-03-22,1231487.3191238963,PPO
2024-03-25,1259445.5011818963,PPO
2024-03-26,1242691.815877896,PPO
2024-03-27,1257889.6795118963,PPO
2024-03-28,1288188.5149218966,PPO
2024-03-29,1345702.2257898964,PPO
2024-04-01,1349723.2760578967,PPO
2024-04-02,1356131.1186578963,PPO
2024-04-03,1400847.5999178966,PPO
2024-04-08,1384098.5285118963,PPO
2024-04-09,1360918.5450158964,PPO
2024-04-10,1439193.149761896,DDPG
2024-04-11,1431032.3655302143,DDPG
2024-04-12,1473768.3117912144,DDPG
2024-04-15,1506658.605052214,DDPG
2024-04-16,1455718.615714214,DDPG
2024-04-17,1486953.2761692142,DDPG
2024-04-18,1557634.6532322143,DDPG
2024-04-19,1559288.2827692144,DDPG
2024-04-22,1511615.4871252142,DDPG
2024-04-23,1414642.3087972142,DDPG
2024-04-24,1455730.6353282141,DDPG
2024-04-25,1459029.8813262142,DDPG
2024-04-26,1526397.989508214,DDPG
2024-04-29,1482012.4202482142,DDPG
2024-04-30,1477079.5774032143,DDPG
2024-05-06,1452415.363178214,DDPG
2024-05-07,1452421.3729852142,DDPG
2024-05-08,1452431.3893302141,DDPG
2024-05-09,1486937.2500172143,DDPG
2024-05-10,1513233.0578202144,DDPG
2024-05-13,1523096.7402412144,DDPG
2024-05-14,1555960.9910052142,DDPG
2024-05-15,1501721.755669214,DDPG
2024-05-16,1426117.552106214,DDPG
2024-05-17,1429410.7882972143,DDPG
2024-05-20,1470499.1148282143,DDPG
2024-05-21,1385039.2419202141,DDPG
2024-05-22,1350525.3681572143,DDPG
2024-05-23,1343946.9088512142,DDPG
2024-05-24,1345588.5187742142,DDPG
2024-05-27,1404770.613300214,DDPG
2024-05-28,1404772.616569214,DDPG
2024-05-29,1440926.0969862142,DDPG
2024-05-30,1371886.329846214,DDPG
2024-05-31,1371886.329846214,DDPG
2024-06-03,1343948.9121202142,DDPG
2024-06-04,1381752.0155362142,DDPG
2024-06-05,1320944.3372392142,DDPG
2024-06-06,1360389.0505782142,DDPG
2024-06-07,1383412.3131712142,DDPG
2024-06-11,1337372.1270472144,DDPG
2024-06-12,1357093.372379214,DDPG
2024-06-13,1332451.8523312141,DDPG
2024-06-14,1362043.2287032143,DDPG
2024-06-17,1347233.8061992142,DDPG
2024-06-18,1339017.8532112143,DDPG
2024-06-19,1381760.248091214,DDPG
2024-06-20,1389982.539995214,DDPG
2024-06-21,1370248.6168312142,DDPG
2024-06-24,1357112.3891272142,DDPG
2024-06-25,1370263.4076352143,DDPG
2024-06-26,1365336.7940032145,DDPG
2024-06-27,1347265.500779214,DDPG
2024-06-28,1398225.9616192144,DDPG
2024-07-01,1424540.676467214,DDPG
2024-07-02,1404834.221939214,DDPG
2024-07-03,1419620.4017512142,DDPG
2024-07-04,1450857.5042872143,DDPG
2024-07-05,1495220.269667214,DDPG
2024-07-08,1491886.3095472143,DDPG
2024-07-09,1520302.8879832143,DDPG
2024-07-10,1468500.206567214,DDPG
2024-07-11,1513613.8997992144,DDPG
2024-07-12,1465168.390307214,A2C
2024-07-15,1461005.3466528354,A2C
2024-07-16,1484842.5701298357,A2C
2024-07-17,1470336.5910258358,A2C
2024-07-18,1465517.3419268357,A2C
2024-07-19,1493657.2052948354,A2C
2024-07-22,1474966.6193828352,A2C
2024-07-23,1409867.2914168357,A2C
2024-07-24,1387840.3449688356,A2C
2024-07-25,1385703.1673668355,A2C
2024-07-26,1397986.5565378356,A2C
2024-07-29,1368263.5154748356,A2C
2024-07-30,1354588.7780778357,A2C
2024-07-31,1384558.5738198357,A2C
2024-08-01,1370306.9389788357,A2C
2024-08-02,1331597.5757848357,A2C
2024-08-05,1272446.9879618357,A2C
2024-08-06,1276918.7593678357,A2C
2024-08-07,1245240.5481628357,A2C
2024-08-08,1238465.2113468356,A2C
2024-08-09,1240059.5959638357,A2C
2024-08-12,1242150.4224268356,A2C
2024-08-13,1258424.7026348358,A2C
2024-08-14,1255198.3480848358,A2C
2024-08-15,1249889.9596238355,A2C
2024-08-16,1232479.8881598355,A2C
2024-08-19,1209230.8181708355,A2C
2024-08-20,1243805.3169318356,A2C
2024-08-21,1252795.5053468356,A2C
2024-08-22,1228718.1897848358,A2C
2024-08-23,1219684.9171918358,A2C
2024-08-26,1201162.9224918354,A2C
2024-08-27,1176811.5351438357,A2C
2024-08-28,1185187.1800258358,A2C
2024-08-29,1180504.2776398356,A2C
2024-08-30,1220047.0790168357,A2C
2024-09-02,1164831.4204808355,A2C
2024-09-03,1179966.7555788357,A2C
2024-09-04,1167435.1696218357,A2C
2024-09-05,1176947.6422378356,A2C
2024-09-06,1152331.4638398357,A2C
2024-09-09,1162287.9881518357,A2C
2024-09-10,1162195.0949778357,A2C
2024-09-11,1161311.0915048355,A2C
2024-09-12,1143181.4174288355,A2C
2024-09-13,1136833.0034308357,A2C
2024-09-18,1144950.0052828356,A2C
2024-09-19,1165425.8663678356,A2C
2024-09-20,1138489.1694358357,A2C
2024-09-23,1114755.7144968356,A2C
2024-09-24,1146955.3428628356,A2C
2024-09-25,1171797.1371558357,A2C
2024-09-26,1217912.6235408357,A2C
2024-09-27,1320032.1885978358,A2C
2024-09-30,1443391.3906478356,A2C
2024-10-08,1586811.7275348355,A2C
2024-10-09,1553719.5830468356,A2C
2024-10-10,1553017.3312668356,A2C
2024-10-11,1506690.3859488359,A2C
2024-10-14,1489639.6038638353,A2C
2024-10-15,1470834.1223968356,A2C
2024-10-16,1422242.9365918357,A2C
2024-10-17,1395680.3806038357,A2C
2024-10-18,1483176.5290198356,A2C
2024-10-21,1529653.1574858355,A2C
2024-10-22,1523010.6269898356,A2C
2024-10-23,1501133.7891828357,A2C
2024-10-24,1480431.9993918356,A2C
2024-10-25,1504147.7217068356,A2C
2024-10-28,1493054.0486298355,A2C
2024-10-29,1471555.7037358356,A2C
2024-10-30,1445655.5133298356,A2C
2024-10-31,1444059.3352788356,A2C
2024-11-01,1412227.2531738358,A2C
2024-11-04,1438806.9038338354,A2C
2024-11-05,1488518.4647628355,A2C
2024-11-06,1480036.2857818354,A2C
2024-11-07,1506328.9918178357,A2C
2024-11-08,1502444.3716048356,A2C
2024-11-11,1560560.0699058357,A2C
2024-11-12,1550147.4581278355,A2C
2024-11-13,1527682.2612998355,A2C
2024-11-14,1484492.6781608353,A2C
2024-11-15,1448386.4061428355,A2C
2024-11-18,1412572.9057378354,A2C
2024-11-19,1431000.0851878356,A2C
2024-11-20,1424754.6172968354,A2C
2024-11-21,1412249.2117418358,A2C
2024-11-22,1339788.9713278357,A2C
2024-11-25,1306257.4481438356,A2C
2024-11-26,1297099.0799798358,A2C
2024-11-27,1325793.2879788356,A2C
2024-11-28,1308492.3714028357,A2C
2024-11-29,1327766.9999598358,A2C
2024-12-02,1359416.3522668355,A2C
2024-12-03,1329887.2278658357,A2C
2024-12-04,1324025.3629498356,A2C
2024-12-05,1315703.5068418356,A2C
2024-12-06,1337608.8084028354,A2C
2024-12-09,1326820.3532698355,A2C
2024-12-10,1331465.9569078356,A2C
2024-12-11,1345614.9903718354,A2C
2024-12-12,1348396.6917688355,A2C
2024-12-13,1328237.7112528356,A2C
2024-12-16,1314385.6827448355,A2C
